time_s,ground_accel_mps2,roof_disp_m,drift_story1,drift_story2,drift_story3,mean_isolation_disp_m,total_base_shear_N
1.67,-0.133316239599194,-0.000447157348218412,-3.08456793350105e-05,-1.05114672591034e-05,-2.2521123942563e-06,-0.00029016401586028,-1758.56388312001
1.68,-0.0519148266690253,-0.000512832717604965,-3.4961510196763e-05,-1.13054746686998e-05,-2.84076380390426e-06,-0.000336044822395244,-2032.64504705169
1.69,0.0967906447394191,-0.000574870018413162,-3.89318834190342e-05,-1.23099622589094e-05,-3.44096413599286e-06,-0.00037801190308299,-2283.05866889611
1.7,0.0547685592079909,-0.000641665279177081,-4.32898346867554e-05,-1.35669642120194e-05,-4.03629301680349e-06,-0.000422450148281,-2547.85673626002
1.71,-0.107645786165111,-0.000710753405546859,-4.78985660456836e-05,-1.5108303388986e-05,-4.61936139628544e-06,-0.00046729897455542,-2814.69400181963
1.72,-0.104359444532193,-0.000773045093195076,-5.22069951342933e-05,-1.69440518252754e-05,-5.19653616914593e-06,-0.000505393793931703,-3041.02601149468
1.73,-0.0512888450287779,-0.00082599199374633,-5.60485082238996e-05,-1.90555361438101e-05,-5.78991979418782e-06,-0.000534773722763499,-3215.37610808615
1.74,-0.0989831919181709,-0.00087116610734178,-5.94928634357375e-05,-2.13993350228644e-05,-6.43412464652218e-06,-0.000556791344163334,-3345.914985314
1.75,-0.0321067842634302,-0.000909209936441205,-6.25422666595601e-05,-2.3913818222893e-05,-7.17140712570308e-06,-0.000572150965211843,-3436.9180101745
1.76,0.0271859487872834,-0.00094377800236349,-6.53772361005956e-05,-2.65277477462045e-05,-8.0456759540011e-06,-0.000583955627080605,-3506.82087987682
1.77,-0.0763424896228859,-0.000976924475084489,-6.80811686071081e-05,-2.91698126700398e-05,-9.0961833658609e-06,-0.000594074682369657,-3566.71410692059
1.78,0.182728379274834,-0.0010114189249274,-7.07872281872924e-05,-3.17765976018346e-05,-1.03522113109316e-05,-0.000604921191367188,-3630.88135165061
